route,file,constRefs,literalRefs,signal
"/(modal)/add-child","app/(modal)/add-child.tsx",4,0,strong
"/(modal)/create-club-post","app/(modal)/create-club-post.tsx",3,0,strong
"/(modal)/create-post","app/(modal)/create-post.tsx",1,0,weak
"/(modal)/create-squad","app/(modal)/create-squad.tsx",0,0,orphan
"/(modal)/edit-child-profile","app/(modal)/edit-child-profile.tsx",1,0,weak
"/(modal)/edit-child-sen","app/(modal)/edit-child-sen.tsx",1,0,weak
"/(modal)/post-detail","app/(modal)/post-detail.tsx",4,0,strong
"/(tabs)","app/(tabs)/index.tsx",5,0,strong
"/(tabs)/admin/invite-codes","app/(tabs)/admin/invite-codes.tsx",0,1,weak
"/(tabs)/athletes","app/(tabs)/athletes.tsx",2,1,strong
"/(tabs)/availability","app/(tabs)/availability.tsx",5,3,strong
"/(tabs)/badges","app/(tabs)/badges.tsx",4,5,strong
"/(tabs)/bookings","app/(tabs)/bookings/index.tsx",6,13,strong
"/(tabs)/bookings/[id]","app/(tabs)/bookings/[id].tsx",10,0,strong
"/(tabs)/bookings/objectives","app/(tabs)/bookings/objectives.tsx",0,0,orphan
"/(tabs)/bookings/report-problem","app/(tabs)/bookings/report-problem.tsx",2,0,strong
"/(tabs)/bookings/session-feedback","app/(tabs)/bookings/session-feedback.tsx",2,0,strong
"/(tabs)/bookings/statistics","app/(tabs)/bookings/statistics.tsx",0,0,orphan
"/(tabs)/children","app/(tabs)/children.tsx",2,1,strong
"/(tabs)/club-hub","app/(tabs)/club-hub.tsx",13,1,strong
"/(tabs)/coach-profile","app/(tabs)/coach-profile.tsx",2,1,strong
"/(tabs)/earnings","app/(tabs)/earnings.tsx",5,1,strong
"/(tabs)/edit-profile","app/(tabs)/edit-profile.tsx",5,1,strong
"/(tabs)/feed","app/(tabs)/feed.tsx",2,2,strong
"/(tabs)/messages","app/(tabs)/messages.tsx",6,6,strong
"/(tabs)/more","app/(tabs)/more.tsx",2,2,strong
"/(tabs)/notifications","app/(tabs)/notifications.tsx",1,1,strong
